               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12112,            0.041256,            0.030856,           0.0029412,              0.0625,           0.0030724,          0.00061449,            0.069444,            0.037505,            0.018761,              0.0946,              0.0006,              0.0006
                   1,             0.11649,            0.042766,            0.030973,                   0,                   0,                   0,                   0,            0.068098,            0.037084,            0.018612,            0.088287,           0.0012871,           0.0012871
                   2,             0.10766,            0.044722,            0.029429,           0.0082493,              0.3125,            0.026863,           0.0091452,            0.061317,            0.039019,            0.018524,             0.08196,           0.0019604,           0.0019604
                   3,            0.097464,            0.047688,            0.029324,           0.0082642,              0.3125,            0.083891,            0.018585,            0.056552,            0.037911,            0.018727,             0.07562,           0.0026198,           0.0026198
                   4,            0.090195,            0.043919,            0.028854,            0.010593,               0.375,            0.023143,            0.010114,            0.051422,            0.037856,            0.018094,            0.069265,           0.0032654,           0.0032654
                   5,            0.089753,            0.055112,            0.027447,            0.048801,               0.375,              0.1585,             0.04685,            0.062223,            0.029263,             0.01815,            0.062897,            0.003897,            0.003897
                   6,            0.086656,            0.050102,            0.027035,             0.23845,               0.125,             0.29807,            0.087955,            0.053158,            0.031869,            0.018474,            0.056515,           0.0045149,           0.0045149
                   7,            0.083276,            0.046045,            0.026889,             0.11326,                0.25,             0.10217,            0.026587,            0.056255,            0.032102,            0.018135,            0.050119,           0.0051188,           0.0051188
                   8,            0.083609,            0.050292,            0.024684,            0.071841,              0.3125,            0.090799,            0.024522,            0.055304,            0.030917,            0.017947,            0.043709,            0.005709,            0.005709
                   9,            0.079258,            0.047914,            0.025266,             0.10948,              0.3125,            0.083754,            0.028303,            0.052735,            0.035632,            0.018147,            0.037285,           0.0062852,           0.0062852
                  10,            0.070582,            0.046981,            0.023646,             0.20763,             0.55881,             0.30302,            0.091801,            0.050667,            0.043451,            0.017713,            0.030848,           0.0068476,           0.0068476
                  11,            0.075259,            0.042985,            0.025258,             0.20878,               0.125,             0.19752,            0.093382,            0.059157,            0.029783,            0.016456,            0.024396,           0.0073961,           0.0073961
                  12,            0.079635,            0.040489,            0.025702,             0.12826,              0.6875,             0.20045,            0.055065,            0.058044,            0.028237,            0.016584,            0.017931,           0.0079308,           0.0079308
                  13,            0.079911,            0.039498,            0.024435,             0.12826,              0.6875,             0.20045,            0.055065,            0.058044,            0.028237,            0.016584,            0.011452,           0.0084516,           0.0084516
                  14,            0.081508,            0.040297,            0.025529,             0.15933,             0.68388,             0.21876,            0.055394,            0.056707,            0.025506,            0.016184,            0.008614,            0.008614,            0.008614
                  15,             0.07706,            0.036088,            0.024079,             0.28222,                 0.5,             0.40591,             0.11563,            0.050298,             0.02554,            0.015855,            0.008614,            0.008614,            0.008614
                  16,            0.068831,            0.039728,            0.023805,             0.33016,              0.5625,             0.38582,             0.15822,            0.041448,            0.027285,            0.015909,            0.008515,            0.008515,            0.008515
                  17,            0.065712,            0.037798,            0.022994,             0.54044,                 0.5,             0.54943,             0.23502,            0.040188,            0.024577,             0.01606,            0.008416,            0.008416,            0.008416
                  18,            0.067898,            0.041735,            0.023567,             0.62054,             0.29972,             0.47231,             0.14394,            0.049649,            0.024096,            0.015903,            0.008317,            0.008317,            0.008317
                  19,            0.069459,             0.03447,            0.023034,             0.40903,              0.5625,             0.43365,             0.12498,            0.051736,              0.0235,            0.015256,            0.008218,            0.008218,            0.008218
